termName,termDescription
포트폴리오,"투자자가 보유한 다양한 자산의 조합으로, 위험과 수익을 고려하여 구성됩니다."
리밸런싱,포트폴리오의 자산 배분 비율을 목표 비율로 재조정하는 행위입니다.
알파,"시장 평균 수익률을 초과하는 초과 수익률로, 운용 능력을 나타냅니다."
베타,주식이 시장 전체의 움직임에 반응하는 정도를 나타내는 지표입니다.
샤프비율,"위험 대비 초과 수익률을 측정하는 지표로, 투자 효율성을 평가합니다."
변동성,"주가나 수익률이 변동하는 정도로, 투자 위험을 나타냅니다."
52주최고가,최근 1년간 해당 주식이 기록한 가장 높은 가격입니다.
52주최저가,최근 1년간 해당 주식이 기록한 가장 낮은 가격입니다.
호가,매수자가 제시하는 구매 희망 가격 또는 매도자가 제시하는 판매 희망 가격입니다.
체결,매수 호가와 매도 호가가 일치하여 거래가 성사되는 것입니다.
미체결,호가가 제시되었으나 아직 거래가 성사되지 않은 상태입니다.
스프레드,매수 호가와 매도 호가 간의 가격 차이를 의미합니다.
상한가,"하루 동안 주가가 오를 수 있는 최대 한도로, 전일 종가 대비 30% 상승입니다."
하한가,"하루 동안 주가가 내릴 수 있는 최대 한도로, 전일 종가 대비 30% 하락입니다."
거래량,일정 기간 동안 거래된 주식의 총 수량입니다.
거래대금,일정 기간 동안 거래된 주식의 총 금액입니다.
외국인지분율,전체 발행 주식 중 외국인이 보유한 주식의 비율입니다.
기관순매수,기관투자자가 매수한 금액에서 매도한 금액을 뺀 순매수 금액입니다.
개인순매수,개인투자자가 매수한 금액에서 매도한 금액을 뺀 순매수 금액입니다.
프로그램매매,컴퓨터 프로그램을 이용하여 자동으로 주식을 매매하는 방식입니다.
차익거래,동일하거나 유사한 자산의 가격 차이를 이용하여 무위험 수익을 추구하는 거래입니다.
비차익거래,"차익거래가 아닌 프로그램매매로, 주로 시장 방향성에 베팅하는 거래입니다."
증자,기업이 신주를 발행하여 자본금을 늘리는 행위입니다.
감자,기업이 발행 주식수를 줄여 자본금을 감소시키는 행위입니다.
주식분할,1주를 여러 주로 나누어 주가를 낮추고 유동성을 높이는 조치입니다.
주식병합,여러 주를 1주로 합쳐 주가를 높이는 조치입니다.
액면분할,액면가를 낮추고 주식수를 늘려 거래를 활성화하는 조치입니다.
우선주,보통주보다 배당이나 잔여재산 분배에서 우선권이 있는 주식입니다.
보통주,의결권을 가지며 일반적으로 거래되는 주식입니다.
전환사채,일정 조건 하에 주식으로 전환할 수 있는 권리가 부여된 채권입니다.
신주인수권부사채,사채 소유자에게 신주를 인수할 수 있는 권리를 부여한 채권입니다.
유상증자,기존 주주나 제3자에게 대금을 받고 신주를 발행하는 증자 방식입니다.
무상증자,기존 주주에게 무상으로 신주를 배정하는 증자 방식입니다.
액면배당,액면가를 기준으로 배당금을 결정하는 방식입니다.
현금배당,이익을 현금으로 주주에게 분배하는 배당 방식입니다.
주식배당,이익을 신주로 발행하여 주주에게 분배하는 배당 방식입니다.
중간배당,결산기 중간에 이익의 일부를 배당으로 지급하는 것입니다.
특별배당,특별한 이익 발생 시 정기 배당 외에 추가로 지급하는 배당입니다.
배당락,"배당을 받을 권리가 소멸되는 날로, 보통 주가가 하락합니다."
권리락,"유상증자 등의 권리가 소멸되는 날로, 이론적으로 주가가 하락합니다."
액면배당률,액면가 대비 배당금의 비율입니다.
현금배당수익률,주가 대비 현금배당금의 비율입니다.
시세차익,주식을 매수한 가격보다 높은 가격에 매도하여 얻는 이익입니다.
평가손익,"보유 중인 주식의 현재 가치와 매수 가격의 차이로, 아직 실현되지 않은 손익입니다."
실현손익,주식을 실제로 매도하여 확정된 손익입니다.
손익분기점,"투자 원금을 회수하는 지점으로, 이익도 손실도 없는 상태입니다."
손절매,손실을 더 키우지 않기 위해 손해를 보면서 보유 자산을 매도하는 것입니다.
익절매,일정 수익이 발생했을 때 이익을 확정하기 위해 보유 자산을 매도하는 것입니다.
물타기,주가가 하락했을 때 평균 매수 단가를 낮추기 위해 추가 매수하는 행위입니다.
불타기,주가가 상승했을 때 추가 매수하여 수익을 극대화하려는 행위입니다.
매집,특정 세력이 주식을 대량으로 사들이는 행위입니다.
작전주,특정 세력이 인위적으로 주가를 조작하는 종목입니다.
테마주,특정 이슈나 테마에 관련된 종목들입니다.
동학개미운동,2020년 코로나19 당시 개인투자자들이 대거 주식시장에 참여한 현상입니다.
서학개미,미국 주식시장에 투자하는 한국 개인투자자를 일컫는 말입니다.
슈퍼개미,수십억 원 이상의 자산으로 주식 투자를 하는 개인투자자입니다.
개미,소액 개인투자자를 일컫는 말입니다.
세력,대량의 자금으로 시장에 영향을 미치는 투자 주체입니다.
작전,주가를 인위적으로 조작하는 불법 행위입니다.
급등주,단기간에 주가가 급격히 상승한 종목입니다.
급락주,단기간에 주가가 급격히 하락한 종목입니다.
저평가주,기업의 실적이나 자산 가치에 비해 주가가 낮게 형성된 종목입니다.
고평가주,기업의 실적이나 자산 가치에 비해 주가가 높게 형성된 종목입니다.
재무제표,기업의 재무 상태와 경영 성과를 나타내는 회계 보고서의 총칭입니다.
재무상태표,"특정 시점의 기업 자산, 부채, 자본을 보여주는 재무제표입니다."
손익계산서,일정 기간 동안의 수익과 비용을 집계하여 경영 성과를 나타내는 재무제표입니다.
현금흐름표,일정 기간 동안 현금의 유입과 유출을 나타내는 재무제표입니다.
자본변동표,일정 기간 동안 자본의 증감 내역을 나타내는 재무제표입니다.
주석,재무제표에 대한 추가 설명과 상세 정보를 제공하는 부분입니다.
자산,기업이 소유하고 있으며 미래에 경제적 효익을 가져다줄 것으로 예상되는 자원입니다.
부채,과거 거래로 인해 미래에 자산을 이전하거나 용역을 제공해야 할 의무입니다.
자본,"자산에서 부채를 뺀 순자산으로, 주주의 몫을 나타냅니다."
유동자산,1년 이내에 현금화할 수 있거나 소비될 자산입니다.
비유동자산,1년 이상 장기간 보유하며 사용되는 자산입니다.
유동부채,1년 이내에 상환해야 하는 단기 부채입니다.
비유동부채,1년 이후에 상환하는 장기 부채입니다.
매출액,기업이 상품이나 서비스를 판매하여 얻은 총 수익입니다.
매출원가,판매된 상품이나 서비스를 생산하는 데 직접 소요된 비용입니다.
매출총이익,"매출액에서 매출원가를 뺀 이익으로, 기본적인 수익성을 나타냅니다."
판매비와관리비,상품 판매와 기업 관리에 소요되는 비용입니다.
영업이익,매출총이익에서 판매비와 관리비를 뺀 본업에서의 이익입니다.
영업외수익,본업 외의 활동에서 발생한 수익입니다.
영업외비용,본업 외의 활동에서 발생한 비용입니다.
법인세비용차감전순이익,영업이익에 영업외손익을 더한 후 법인세를 내기 전의 이익입니다.
법인세비용,기업이 납부해야 할 법인세 금액입니다.
당기순이익,법인세를 제외한 후 최종적으로 기업에 남은 순이익입니다.
포괄손익,당기순이익에 기타포괄손익을 더한 총 이익입니다.
기타포괄손익,손익계산서에 포함되지 않고 자본에 직접 반영되는 손익입니다.
EBITDA,"이자, 세금, 감가상각비 차감 전 이익으로, 기업의 현금 창출 능력을 나타냅니다."
EBIT,"이자와 세금 차감 전 이익으로, 영업이익과 유사한 개념입니다."
감가상각,유형자산의 가치가 시간이 지남에 따라 감소하는 것을 비용으로 인식하는 회계 처리입니다.
무형자산상각,무형자산의 가치 감소를 비용으로 인식하는 회계 처리입니다.
대손상각,회수 불가능한 채권을 비용으로 처리하는 회계 절차입니다.
재고자산,"판매를 목적으로 보유하고 있는 상품, 제품, 원재료 등의 자산입니다."
매출채권,상품이나 서비스를 외상으로 판매하고 받을 금액입니다.
매입채무,상품이나 서비스를 외상으로 구입하고 지급해야 할 금액입니다.
선급금,상품이나 서비스를 받기 전에 미리 지급한 금액입니다.
선수금,상품이나 서비스를 제공하기 전에 미리 받은 금액입니다.
미수금,주된 영업활동 외의 거래에서 받을 금액입니다.
미지급금,주된 영업활동 외의 거래에서 지급해야 할 금액입니다.
현금및현금성자산,현금과 즉시 현금화할 수 있는 유동성이 높은 자산입니다.
단기금융상품,"만기가 1년 이내인 예금, 적금 등의 금융상품입니다."
장기금융상품,"만기가 1년을 초과하는 예금, 적금 등의 금융상품입니다."
유형자산,"물리적 형태가 있는 자산으로, 토지, 건물, 기계장치 등이 포함됩니다."
무형자산,"물리적 형태가 없는 자산으로, 특허권, 상표권, 영업권 등이 포함됩니다."
투자자산,단기 매매 목적이 아닌 장기 보유 목적의 투자입니다.
영업권,"기업 인수 시 순자산 공정가치를 초과하여 지급한 금액으로, 무형의 초과 가치를 나타냅니다."
자본금,"주주가 출자한 금액으로, 기업 설립의 기초가 되는 자본입니다."
자본잉여금,주식 발행 시 액면가를 초과하여 받은 금액 등 자본거래에서 발생한 잉여금입니다.
이익잉여금,기업이 영업활동을 통해 벌어들인 이익 중 배당하지 않고 누적한 금액입니다.
자기주식,기업이 자사의 주식을 매입하여 보유하고 있는 주식입니다.
부채비율,"총부채를 자기자본으로 나눈 비율로, 재무 건전성을 나타냅니다."
유동비율,"유동자산을 유동부채로 나눈 비율로, 단기 지급 능력을 나타냅니다."
당좌비율,"당좌자산을 유동부채로 나눈 비율로, 즉시 지급 가능한 능력을 나타냅니다."
이자보상배율,"영업이익을 이자비용으로 나눈 비율로, 이자 지급 능력을 나타냅니다."
매출채권회전율,"매출액을 평균 매출채권으로 나눈 비율로, 채권 회수 효율성을 나타냅니다."
재고자산회전율,"매출원가를 평균 재고자산으로 나눈 비율로, 재고 관리 효율성을 나타냅니다."
총자산회전율,"매출액을 평균 총자산으로 나눈 비율로, 자산 활용 효율성을 나타냅니다."
자기자본회전율,"매출액을 평균 자기자본으로 나눈 비율로, 자본 활용 효율성을 나타냅니다."
매출총이익률,"매출총이익을 매출액으로 나눈 비율로, 기본적인 수익성을 나타냅니다."
영업이익률,"영업이익을 매출액으로 나눈 비율로, 본업의 수익성을 나타냅니다."
순이익률,"당기순이익을 매출액으로 나눈 비율로, 최종 수익성을 나타냅니다."
자산수익률,"당기순이익을 평균 총자산으로 나눈 비율로, 자산 대비 수익성을 나타냅니다."
자기자본수익률,"당기순이익을 평균 자기자본으로 나눈 비율로, 주주 자본 대비 수익성을 나타냅니다."
영업활동현금흐름,영업활동으로 인한 현금의 유입과 유출을 나타냅니다.
투자활동현금흐름,투자활동으로 인한 현금의 유입과 유출을 나타냅니다.
재무활동현금흐름,재무활동으로 인한 현금의 유입과 유출을 나타냅니다.
잉여현금흐름,"영업활동현금흐름에서 자본적지출을 뺀 금액으로, 자유롭게 사용 가능한 현금입니다."
자본적지출,장기 사용 목적의 자산 취득에 지출되는 비용입니다.
운전자본,"유동자산에서 유동부채를 뺀 금액으로, 일상적 영업활동에 필요한 자금입니다."
순운전자본,운전자본에서 현금및현금성자산을 뺀 금액입니다.
현금순환주기,현금이 재고와 매출채권을 거쳐 다시 현금으로 돌아오는 데 걸리는 시간입니다.
발생액,현금 유입 없이 회계상으로만 인식된 수익 또는 비용입니다.
비현금비용,"현금 유출 없이 비용으로 인식되는 항목으로, 감가상각비 등이 포함됩니다."
이연법인세자산,미래에 세금 절감 효과를 가져올 것으로 예상되는 자산입니다.
이연법인세부채,미래에 추가 세금을 납부해야 할 것으로 예상되는 부채입니다.
충당부채,발생 시기나 금액이 불확실하지만 예상되는 부채를 미리 인식한 것입니다.
우발부채,미래 사건의 발생 여부에 따라 부채가 될 수 있는 잠재적 의무입니다.
파생상품자산,파생상품 거래에서 유리한 포지션을 보유하여 발생한 자산입니다.
파생상품부채,파생상품 거래에서 불리한 포지션을 보유하여 발생한 부채입니다.
공정가치,합리적인 판단력과 거래 의사가 있는 독립된 당사자 간의 거래에서 자산이 교환될 수 있는 가격입니다.
장부가액,재무제표에 기록된 자산이나 부채의 가액입니다.
취득원가,자산을 취득하는 데 지출한 모든 비용의 합계입니다.
손상차손,자산의 장부가액이 회수 가능액보다 클 때 그 차액을 비용으로 인식하는 것입니다.
자산재평가,자산의 장부가액을 공정가치로 재조정하는 회계 처리입니다.
환산손익,외화 자산이나 부채를 원화로 환산할 때 발생하는 손익입니다.
지분법손익,관계기업이나 공동기업에 대한 투자에서 발생하는 손익입니다.
관계기업,투자기업이 유의적인 영향력을 행사할 수 있는 피투자기업입니다.
종속기업,지배기업이 지배력을 행사하는 기업입니다.
연결재무제표,지배기업과 종속기업을 하나의 실체로 보고 작성한 재무제표입니다.
별도재무제표,종속기업에 대한 투자를 원가법이나 지분법으로 회계처리한 개별 재무제표입니다.
내부거래제거,연결재무제표 작성 시 그룹 내 거래를 제거하는 절차입니다.
비지배지분,종속기업의 자본 중 지배기업이 소유하지 않은 부분입니다.
영업권손상,인수 시 인식한 영업권의 가치가 감소하여 비용으로 인식하는 것입니다.
핀테크,"금융(Finance)과 기술(Technology)을 결합한 용어로, 기술을 활용한 금융 서비스 혁신을 의미합니다."
블록체인,거래 정보를 블록 단위로 저장하고 체인 형태로 연결한 분산원장 기술입니다.
비트코인,"최초의 암호화폐로, 블록체인 기술을 기반으로 한 탈중앙화 디지털 화폐입니다."
이더리움,스마트 계약 기능을 갖춘 블록체인 플랫폼이자 암호화폐입니다.
암호화폐,암호화 기술을 이용하여 생성되고 거래되는 디지털 화폐입니다.
가상자산,"전자적으로 거래되거나 이전될 수 있는 경제적 가치로, 암호화폐를 포함합니다."
스마트계약,계약 조건을 코드로 작성하여 자동으로 실행되는 블록체인 기반 계약입니다.
NFT,"대체 불가능한 토큰으로, 블록체인에 저장되는 고유한 디지털 자산입니다."
DeFi,"탈중앙화 금융으로, 중개자 없이 블록체인에서 작동하는 금융 서비스입니다."
DAO,"탈중앙화 자율조직으로, 스마트 계약에 의해 운영되는 조직입니다."
메타버스,가상세계와 현실이 융합된 3차원 디지털 공간입니다.
CBDC,"중앙은행 디지털화폐로, 중앙은행이 발행하는 법정 디지털 화폐입니다."
스테이블코인,가치 변동성을 줄이기 위해 법정화폐나 실물자산에 연동된 암호화폐입니다.
알트코인,비트코인 이외의 모든 암호화폐를 통칭하는 말입니다.
채굴,암호화폐 거래를 검증하고 새로운 코인을 생성하는 과정입니다.
마이닝,"채굴을 영어로 표현한 것으로, 컴퓨팅 파워를 제공하여 암호화폐를 획득하는 행위입니다."
스테이킹,암호화폐를 일정 기간 보유하며 네트워크에 기여하여 보상을 받는 방식입니다.
웹3,"탈중앙화된 인터넷 환경으로, 블록체인 기술을 기반으로 합니다."
지갑,암호화폐를 보관하고 거래할 수 있는 디지털 지갑입니다.
콜드월렛,인터넷에 연결되지 않은 오프라인 암호화폐 지갑입니다.
핫월렛,인터넷에 연결된 온라인 암호화폐 지갑입니다.
거래소,암호화폐를 사고팔 수 있는 플랫폼입니다.
토큰,"블록체인 상에서 발행되는 디지털 자산으로, 다양한 용도로 사용됩니다."
ICO,"암호화폐 공개로, 프로젝트가 토큰을 발행하여 자금을 조달하는 방식입니다."
IEO,거래소가 검증 후 진행하는 토큰 공개 방식입니다.
에어드롭,마케팅 목적으로 무료로 토큰을 배포하는 행위입니다.
가스비,이더리움 네트워크에서 거래를 처리하는 데 필요한 수수료입니다.
프라이빗키,암호화폐 지갑에 접근하기 위한 비밀 키입니다.
퍼블릭키,거래 주소를 생성하는 공개 키입니다.
지갑주소,암호화폐를 송수신할 수 있는 고유 식별자입니다.
해시,데이터를 고정된 길이의 암호화된 문자열로 변환하는 함수의 결과값입니다.
해시레이트,채굴에 사용되는 컴퓨팅 파워의 양을 나타내는 지표입니다.
컨센서스,블록체인 네트워크에서 거래를 검증하고 합의하는 방식입니다.
작업증명,채굴자가 복잡한 수학 문제를 풀어 거래를 검증하는 합의 알고리즘입니다.
지분증명,보유한 암호화폐의 양에 따라 거래를 검증하는 합의 알고리즘입니다.
하드포크,블록체인의 규칙을 변경하여 기존 체인과 분리되는 업그레이드입니다.
소프트포크,이전 버전과 호환되는 블록체인 업그레이드입니다.
레이어2,블록체인 확장성을 높이기 위해 메인 체인 위에 구축된 2차 레이어입니다.
사이드체인,메인 블록체인과 독립적으로 작동하면서 연결된 별도의 블록체인입니다.
크로스체인,서로 다른 블록체인 간의 자산 이전이나 정보 교환을 가능하게 하는 기술입니다.
디앱,"탈중앙화 애플리케이션으로, 블록체인에서 작동하는 앱입니다."
오라클,블록체인이 외부 데이터를 활용할 수 있도록 연결하는 서비스입니다.
유동성풀,DeFi에서 자산을 예치하여 유동성을 제공하는 저장소입니다.
자동마켓메이커,알고리즘을 통해 자동으로 가격을 결정하고 거래를 체결하는 시스템입니다.
이자농사,DeFi 프로토콜에 자산을 예치하여 이자 수익을 얻는 전략입니다.
유동성채굴,유동성 풀에 자산을 예치하여 토큰 보상을 받는 행위입니다.
P2P금융,"개인 간 직접 자금을 거래하는 금융 서비스로, 중개 기관을 거치지 않습니다."
크라우드펀딩,다수의 개인으로부터 소액을 모아 자금을 조달하는 방식입니다.
로보어드바이저,알고리즘과 AI를 활용하여 자산 관리와 투자 조언을 제공하는 서비스입니다.
마이데이터,개인이 본인의 데이터에 대한 통제권을 가지고 활용할 수 있는 서비스입니다.
오픈뱅킹,은행 간 계좌 정보와 거래 내역을 통합하여 조회하고 이체할 수 있는 서비스입니다.
오픈API,"금융기관이 외부 개발자에게 개방한 API로, 다양한 금융 서비스 개발을 가능하게 합니다."
간편결제,카드나 계좌 정보를 미리 등록하여 간편하게 결제할 수 있는 서비스입니다.
간편송금,복잡한 계좌번호 없이 전화번호 등으로 송금할 수 있는 서비스입니다.
QR코드결제,QR 코드를 스캔하여 결제하는 방식입니다.
NFC결제,근거리 무선통신을 이용한 비접촉 결제 방식입니다.
생체인증,"지문, 얼굴, 홍채 등 생체 정보를 이용한 본인 인증 방식입니다."
OTP,"일회용 비밀번호로, 매번 다른 인증번호를 생성하여 보안을 강화하는 기술입니다."
공인인증서,전자 거래 시 본인임을 인증하는 전자적 정보입니다.
공동인증서,"공인인증서를 개편한 것으로, 민간과 공공에서 함께 사용하는 인증서입니다."
금융보안카드,금융 거래 시 추가 인증에 사용되는 일회용 비밀번호 카드입니다.
빅데이터,"방대한 양의 데이터를 수집, 분석하여 유의미한 정보를 추출하는 기술입니다."
인공지능,인간의 학습능력과 추론능력을 컴퓨터로 구현한 기술입니다.
머신러닝,데이터를 기반으로 컴퓨터가 스스로 학습하여 성능을 개선하는 AI 기술입니다.
딥러닝,인공신경망을 여러 층으로 쌓아 복잡한 패턴을 학습하는 머신러닝 기법입니다.
챗봇,자동으로 대화하여 고객 응대나 정보 제공을 하는 AI 프로그램입니다.
RPA,"로봇 프로세스 자동화로, 반복적인 업무를 소프트웨어 로봇이 수행하는 기술입니다."
클라우드컴퓨팅,인터넷을 통해 IT 자원을 서비스로 제공하는 컴퓨팅 방식입니다.
API,응용 프로그램 간 데이터를 주고받을 수 있게 하는 인터페이스입니다.
샌드박스,혁신적인 금융 서비스를 제한된 범위에서 시험 운영할 수 있도록 규제를 유예하는 제도입니다.
레그테크,"규제(Regulation)와 기술(Technology)의 합성어로, 규제 준수를 위한 기술을 의미합니다."
인슈어테크,"보험(Insurance)과 기술(Technology)의 합성어로, 기술을 활용한 보험 서비스 혁신을 의미합니다."
리테일테크,소매업에 기술을 접목하여 고객 경험을 향상시키는 서비스입니다.
프롭테크,"부동산(Property)과 기술(Technology)의 합성어로, 부동산 분야의 기술 혁신을 의미합니다."
카카오페이,카카오가 제공하는 간편결제 및 금융 서비스 플랫폼입니다.
네이버페이,네이버가 제공하는 간편결제 및 금융 서비스 플랫폼입니다.
토스,비바리퍼블리카가 제공하는 금융 슈퍼앱입니다.
파생상품,기초자산의 가격 변동에 따라 가치가 결정되는 금융상품입니다.
선물,미래 특정 시점에 특정 가격으로 자산을 사고팔기로 약속하는 계약입니다.
옵션,미래에 특정 가격으로 자산을 사거나 팔 수 있는 권리를 부여하는 계약입니다.
스왑,두 당사자가 서로 다른 현금흐름이나 자산을 교환하기로 약정하는 계약입니다.
콜옵션,기초자산을 미리 정한 가격에 살 수 있는 권리입니다.
풋옵션,기초자산을 미리 정한 가격에 팔 수 있는 권리입니다.
행사가격,옵션 계약에서 기초자산을 사거나 팔 수 있는 미리 정해진 가격입니다.
만기일,파생상품 계약이 종료되는 날짜입니다.
프리미엄,옵션 매수자가 매도자에게 지급하는 옵션 가격입니다.
내재가치,옵션을 즉시 행사했을 때 얻을 수 있는 이익입니다.
시간가치,"옵션 프리미엄에서 내재가치를 뺀 값으로, 만기까지 남은 시간에 따른 가치입니다."
헤지,가격 변동 위험을 줄이기 위해 파생상품을 이용하는 전략입니다.
레버리지,적은 자본으로 큰 규모의 투자를 하여 수익률을 증폭시키는 효과입니다.
증거금,파생상품 거래 시 손실 보전을 위해 예치하는 자금입니다.
위탁증거금,거래를 시작할 때 납부하는 최초 증거금입니다.
유지증거금,포지션을 유지하기 위해 필요한 최소 증거금입니다.
추가증거금,손실로 인해 증거금이 부족할 때 추가로 납부해야 하는 금액입니다.
마진콜,증거금이 유지증거금 수준 이하로 떨어졌을 때 추가 증거금을 요구하는 것입니다.
반대매매,증거금을 추가로 납부하지 않으면 증권사가 강제로 포지션을 청산하는 것입니다.
롤오버,만기가 다가온 선물 계약을 다음 월물로 이전하는 행위입니다.
베이시스,현물 가격과 선물 가격의 차이입니다.
백워데이션,선물 가격이 현물 가격보다 낮은 상태입니다.
콘탱고,선물 가격이 현물 가격보다 높은 상태입니다.
델타,기초자산 가격 변화에 대한 옵션 가격의 변화율입니다.
감마,기초자산 가격 변화에 대한 델타의 변화율입니다.
세타,시간 경과에 따른 옵션 가격의 변화율입니다.
베가,변동성 변화에 대한 옵션 가격의 변화율입니다.
로,금리 변화에 대한 옵션 가격의 변화율입니다.
임플라이드볼래틸리티,옵션 가격에 내재된 미래 변동성에 대한 시장의 기대치입니다.
히스토리컬볼래틸리티,과거 가격 변동을 바탕으로 계산한 실제 변동성입니다.
블랙숄즈모형,옵션의 이론 가격을 계산하는 대표적인 수학 모형입니다.
이항모형,"옵션 가격을 계산하는 모형으로, 자산 가격이 상승 또는 하락한다고 가정합니다."
스트래들,동일한 행사가격의 콜옵션과 풋옵션을 동시에 매수하는 전략입니다.
스트랭글,다른 행사가격의 콜옵션과 풋옵션을 동시에 매수하는 전략입니다.
커버드콜,보유 주식에 대해 콜옵션을 매도하여 프리미엄 수익을 얻는 전략입니다.
